ID,DNI,Nombre,Apellido,Carrera,Materias
1,45568470,Ana,Gomez,Arquitectura,25
11,39581591,Ana,Perez,Arquitectura,24
21,47209098,Maria,Perez,Ingenieria,34
31,41957356,Ana,Lopez,Economia,21
41,41905333,Pedro,Fernandez,Derecho,14
2,35180941,Luis,Lopez,Ingenieria,19
32,46296184,Ana,Diaz,Derecho,23
33,32916185,Luis,Perez,Economia,29
22,43313038,Luis,Diaz,Derecho,20
3,43677805,Maria,Diaz,Medicina,10
23,46992417,Pedro,Fernandez,Economia,39
42,47806701,Juan,Lopez,Economia,5
4,49161600,Pedro,Fernandez,Derecho,28
12,34276680,Juan,Perez,Arquitectura,38
5,49685201,Ana,Fernandez,Economia,32
24,35934839,Pedro,Perez,Arquitectura,1
43,34739054,Luis,Lopez,Ingenieria,23
34,48426951,Ana,Gomez,Arquitectura,3
25,37995875,Ana,Gomez,Economia,38
6,33021667,Pedro,Perez,Arquitectura,19
13,48616063,Luis,Perez,Economia,5
26,48810354,Ana,Gomez,Derecho,6
7,45962280,Ana,Fernandez,Derecho,36
35,43688787,Luis,Fernandez,Arquitectura,29
27,46469279,Juan,Diaz,Derecho,19
8,37270905,Maria,Perez,Economia,4
36,49593603,Maria,Diaz,Medicina,37
44,40298396,Maria,Fernandez,Arquitectura,9
14,46555643,Pedro,Fernandez,Ingenieria,16
15,38224569,Maria,Lopez,Derecho,18
9,37903129,Ana,Perez,Medicina,0
37,43234193,Maria,Lopez,Derecho,15
10,48188277,Ana,Fernandez,Economia,35
16,36744861,Luis,Fernandez,Medicina,10
28,48655667,Ana,Fernandez,Medicina,22
17,38765968,Luis,Gomez,Ingenieria,15
45,47002740,Juan,Diaz,Ingenieria,8
29,46445984,Ana,Fernandez,Derecho,11
38,41073012,Juan,Lopez,Economia,36
18,38244743,Ana,Diaz,Economia,0
30,45506179,Luis,Diaz,Derecho,28
39,44361729,Juan,Perez,Derecho,25
19,45650583,Ana,Perez,Economia,6
46,47522933,Maria,Perez,Economia,17
20,30123624,Juan,Gomez,Arquitectura,9
47,31796540,Pedro,Lopez,Derecho,15
40,38246951,Luis,Diaz,Derecho,12
48,45711013,Ana,Lopez,Derecho,21
49,35300844,Juan,Gomez,Arquitectura,23
50,41510950,Ana,Diaz,Medicina,28
